,fruit_label,rndm_fruit_id,rndm_def
243,white grapefruit ,http://purl.obolibrary.org/obo/FOODON_03311297,None
244,white peppercorn ,http://purl.obolibrary.org/obo/FOODON_00003762,A riped berry fruit of a white pepper plant.
245,white raisin ,http://purl.obolibrary.org/obo/FOODON_03311062,None
246,williams pear ,http://purl.obolibrary.org/obo/FOODON_00003575,"A pome fruit of a williams bon chrétien pear plant, cultivar of a common pear."
247,winter squash ,http://purl.obolibrary.org/obo/FOODON_00003946,A pepo fruit of a winter squash plant harvested in the fall.
248,wood apple ,http://purl.obolibrary.org/obo/FOODON_03311596,"The fruit is a berry 5–9 cm diameter, and may be sweet or sour. It has a very hard rind which can be difficult to crack open, it appears greenish-brown in colour from outside and contains sticky brown pulp and small white seeds."
249,yellow bell pepper ,http://purl.obolibrary.org/obo/FOODON_00003012,None
250,yellow plum ,http://purl.obolibrary.org/obo/FOODON_03311303,A drupe fruit of a yellow plum plant (Prunus americana).
251,yellow summer squash ,http://purl.obolibrary.org/obo/FOODON_00003709,A yellow colored cultivated variety of summer squash plant.
252,yellow tomato ,http://purl.obolibrary.org/obo/FOODON_03000142,A berry fruit of a yellow tomato plant.
253,youngberry ,http://purl.obolibrary.org/obo/FOODON_00003566,"A drupelet fruit of a youngberry plant which is a hybrid between three different species; the raspberries, blackberries, and dewberries from the genus Rubus."
254,yuzu ,http://purl.obolibrary.org/obo/FOODON_00003732,A hesperidium fruit of a yuzu plant (Citrus junos)
255,zucca melon ,http://purl.obolibrary.org/obo/FOODON_00003780,A pepo fruit of a Calabash melon plant (Lagenaria siceraria).
256,zucchini squash ,http://purl.obolibrary.org/obo/FOODON_03310943,None
