,fruit_label,rndm_fruit_id,rndm_def
96,guava ,http://purl.obolibrary.org/obo/FOODON_00003622,A berry fruit of a guava plant.
97,heart of palm ,http://purl.obolibrary.org/obo/FOODON_03306832,None
98,heirloom tomato ,http://purl.obolibrary.org/obo/FOODON_00002928,"An heirloom tomato is an open-pollinated (non-hybrid) heirloom cultivar of tomato, that can be classified into four categories: family heirlooms, commercial heirlooms, mystery heirlooms, and created heirlooms. They usually have a shorter shelf life and less disease resistance than hybrids bred to resist against specific diseases."
99,hickory nut ,http://purl.obolibrary.org/obo/FOODON_00003089,A hickory nut is technically a drupe fruit of the hickory plant.
100,honeycrisp apple ,http://purl.obolibrary.org/obo/FOODON_00003519,None
101,honeydew melon ,http://purl.obolibrary.org/obo/FOODON_00003598,"A cultivar of a muskmelon, inodorus group plant."
102,horned melon ,http://purl.obolibrary.org/obo/FOODON_00003658,A pepo fruit from a horned melon tree (Cucumis metulifer).
103,hot pepper ,http://purl.obolibrary.org/obo/FOODON_00003545,A berry fruit of a hot pepper plant.
104,hubbard squash ,http://purl.obolibrary.org/obo/FOODON_03000075,"A pepo fruit of a hubbard squash plant, which is a cultivar of Cucurbita maxima."
105,huckleberry ,http://purl.obolibrary.org/obo/FOODON_00003544,A berry fruit of a huckleberry plant.
106,hungarian wax pepper ,http://purl.obolibrary.org/obo/FOODON_03000130,A berry fruit of a hungarian wax pepper plant.
107,italian prune plum ,http://purl.obolibrary.org/obo/FOODON_00003813,A dried drupe fruit of an italian prune plum plant (Prunus cocomili)
108,jackfruit ,http://purl.obolibrary.org/obo/FOODON_00003457,A fruit multiple of a jackfruit tree (Artocarpus heterophyllus).
109,jalapeno pepper ,http://purl.obolibrary.org/obo/FOODON_00003494,A berry fruit of a jalapeno pepper plant (Capsicum annuum).
110,japanese chestnut ,http://purl.obolibrary.org/obo/FOODON_00003654,A nut fruit from a japanese chestnut tree (Castanea crenata)
111,japanese persimmon ,http://purl.obolibrary.org/obo/FOODON_00004240,None
112,java apple ,http://purl.obolibrary.org/obo/FOODON_00003626,A berry fruit from a java apple tree (Syzygium samarangense)
113,jujube fruit ,http://purl.obolibrary.org/obo/FOODON_00003652,A drupe fruit of a jujube plant (Ziziphus jujuba).
114,kiwifruit ,http://purl.obolibrary.org/obo/FOODON_03303398,"Kiwifruit (often abbreviated as kiwi), or Chinese gooseberry, is the edible berry of several species of woody vines in the genus Actinidia."
115,kola nut pod ,http://purl.obolibrary.org/obo/FOODON_00003668,A pod of a kola tree (Cola acuminata).
116,kumquat ,http://purl.obolibrary.org/obo/FOODON_03306597,A hesperidium fruit of a kumquat plant (Citrus japonica)
117,lemon ,http://purl.obolibrary.org/obo/FOODON_03301441,A hesperidium fruit of a lemon plant (Citrus limon)
118,lime ,http://purl.obolibrary.org/obo/FOODON_00003661,A hesperidium fruit of a lime plant.
119,lingonberry ,http://purl.obolibrary.org/obo/FOODON_00003542,A berry fruit of a lingonberry plant (Vaccinium vitis-idaea).
120,loganberry ,http://purl.obolibrary.org/obo/FOODON_00003479,A drupelet fruit of a loganberry plant (Rubus x loganobaccus).
121,longan ,http://purl.obolibrary.org/obo/FOODON_00003677,A drupe fruit of a longan plant (Dimocarpus longan)
122,loquat ,http://purl.obolibrary.org/obo/FOODON_00003672,A pome fruit from a louqat tree (Rhaphiolepis bibas).
123,lychee ,http://purl.obolibrary.org/obo/FOODON_00004228,A whole raw lychee fruit.
124,malus sieversii apple ,http://purl.obolibrary.org/obo/FOODON_00004185,A pome fruit from a Malus sieversii tree.
